Item,Mean,StdError,Count,CI_Lower,CI_Upper,Type
Shrimp-Green Onion,0.8422287605964978,0.0013172621069482918,16161,0.8396469268668791,0.8448105943261164,Combo
Chicken-Ginger-Green Onion,0.8372776699029126,0.0018706857169331545,8240,0.8336111258977237,0.8409442139081016,Combo
Pork-Ginger,0.8328087528053864,0.0012571040602117126,18714,0.8303448288473714,0.8352726767634013,Combo
Shrimp-Ginger,0.831007911494179,0.0013746028514152319,15547,0.8283136899054051,0.8337021330829528,Combo
Pork-Mushrooms,0.8309704439968474,0.001144353101268616,22838,0.8287275119183609,0.8332133760753339,Combo
Chicken-Green Onion,0.8284791040434403,0.0012139534377939682,20626,0.8260997553053641,0.8308584527815165,Combo
Shrimp-Soy Sauce-Ginger,0.8214132336567519,0.0021915438711261376,6287,0.8171178076693447,0.8257086596441591,Combo
Chicken-Mushrooms,0.8183028139437212,0.0011525756847014226,23810,0.8160437656017064,0.8205618622857359,Combo
SHRIMP,0.8177815708418891,0.0016372334817606532,11688,0.8145725932176382,0.82099054846614,Ingredient
PORK,0.8148464559001208,0.0018102432116085976,9932,0.811298379205368,0.8183945325948737,Ingredient
CHICKEN,0.7921155327342748,0.002024212975156264,8569,0.7881480753029685,0.7960829901655812,Ingredient
Soy Sauce-Green Onion,0.7845707458253204,0.0008207631303838055,52519,0.7829620500897682,0.7861794415608726,Combo
NOODLES,0.7811426629790595,0.0004356852989157048,189825,0.7802887197931848,0.7819966061649343,Ingredient
Soy Sauce-Ginger,0.7745214819241112,0.0008535784520326344,50205,0.7728484681581272,0.7761944956900951,Combo
GREEN_ONION,0.7704452773085586,0.00112847496161657,28416,0.7682334663837901,0.7726570882333271,Ingredient
SOY_SAUCE,0.7633961201281554,0.0011485154517274063,28403,0.7611450298427697,0.7656472104135411,Ingredient
MUSHROOMS,0.7585135225823769,0.0007069876772584426,74505,0.7571278267349504,0.7598992184298035,Ingredient
GINGER,0.747024243743199,0.0012731311818220225,22975,0.7445289066268278,0.7495195808595702,Ingredient
